"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer"
"m78685170365","2023-11-04","","2023-11-09","Versace men slides size 44","Completed","New Jersey","Georgia","102.00","7.99","0.00","10.20","3.69","0.00","88.11","0.00","0.00"
"m77671861695","2023-11-04","","2023-11-09","Chanel Rouge allure ink 152 new","Completed","California","Georgia","17.00","4.30","0.00","1.70","1.12","0.00","14.18","1.23","0.00"
"m71290445789","2023-11-05","","2023-11-11","Chantecaille Just Skin Tinted Moisturizer Alabaster 1.7oz","Completed","California","Georgia","22.00","4.30","0.00","2.20","1.26","0.00","18.54","2.09","0.00"
"m26220572417","2023-11-06","","2023-11-12","Hourglass highlighter ambient","Completed","Idaho","Georgia","20.00","0.00","4.99","2.00","1.08","0.00","11.93","1.20","0.00"
"m86610219590","2023-11-09","","2023-11-14","Zara black dress","Completed","Texas","Georgia","23.00","4.99","0.00","2.30","1.31","0.00","19.39","2.31","0.00"
"m90192951946","2023-11-08","","2023-11-15","Corset story beige laceup corset New","Completed","Missouri","Georgia","59.00","7.40","0.00","5.90","2.43","0.00","50.67","4.88","0.00"
"m70169432898","2023-11-13","","2023-11-19","Black Tea Firming Overnight Mask","Completed","Virginia","Georgia","10.00","4.99","0.00","1.00","0.93","0.00","8.07","0.53","0.00"
"m70317717668","2023-11-16","","2023-11-21","Kylie Cosmetics eyeshadow","Completed","Pennsylvania","Georgia","11.00","4.99","0.00","1.10","0.96","2.41","6.53","0.96","0.00"
"m79434258017","2023-11-18","","2023-11-23","Nike Air Max men","Completed","Tennessee","Georgia","19.00","7.99","0.00","1.90","1.28","0.00","15.82","2.63","0.00"
"m98090793906","2023-11-18","","2023-11-25","Versace gift bag","Completed","Michigan","Georgia","8.00","7.99","0.00","0.80","0.96","0.00","6.24","0.48","0.00"
"m11212666986","2023-11-26","","2023-11-30","Fendi shoe box","Completed","North Carolina","Georgia","23.00","9.50","0.00","2.30","1.44","0.00","19.26","2.36","0.00"
"m62938892216","2023-11-24","","2023-12-05","H&M mint crop Sweater","Completed","Washington","Georgia","9.00","4.99","0.00","0.90","0.91","0.00","7.19","1.41","0.00"
"m23808388327","2023-11-30","","2023-12-05","Urban outfitters shark hair clip","Completed","Connecticut","Georgia","6.00","4.30","0.00","0.60","0.80","0.00","4.60","0.65","0.00"
"m58515659844","2023-12-01","","2023-12-05","Hermes box","Completed","Maryland","Georgia","8.00","4.99","0.00","0.80","0.88","0.00","6.32","0.48","0.00"
"m78876282585","2023-12-03","","2023-12-08","Steve Madden black heel boots leather","Completed","Ohio","Georgia","20.00","7.99","0.00","2.00","1.31","0.00","16.69","1.89","0.00"
"m37081699896","2023-12-02","","2023-12-09","Vans beige skateboard pants","Completed","Georgia","Georgia","22.00","4.99","0.00","2.20","1.28","0.00","18.52","2.16","0.00"
"m78609902009","2023-12-03","","2023-12-10","Kate spade small bag","Completed","Arizona","Georgia","13.50","7.40","0.00","1.35","1.11","0.00","11.04","1.14","0.00"
"m79113635488","2023-12-04","","2023-12-10","OkaB salon flat","Completed","Florida","Georgia","15.00","7.40","0.00","1.50","1.15","0.00","12.35","1.68","0.00"
"m98540749282","2023-12-02","","2023-12-13","Vivien Westwood small box","Completed","California","Georgia","11.25","4.30","0.00","1.12","0.95","0.00","9.18","1.15","0.00"
"m78132099250","2023-12-08","","2023-12-13","Tom ford traceless soft Matt primer sample 5","Completed","Illinois","Georgia","23.00","4.30","0.00","2.30","1.29","0.00","19.41","2.80","0.00"
"m53710002332","2023-12-04","","2023-12-15","Armani 405 lipstick","Completed","Washington","Georgia","8.00","4.30","0.00","0.80","0.86","0.00","6.34","1.24","0.00"
"m40299931539","2023-12-12","","2023-12-16","Sekkisei - Emulsion (140ml)","Completed","California","Georgia","16.00","7.40","0.00","1.60","1.18","0.00","13.22","1.24","0.00"
"m36071734447","2023-12-13","","2023-12-16","Alexander Macqueen shoebox","Completed","Illinois","Georgia","7.50","7.40","0.00","0.75","0.93","0.00","5.82","1.53","0.00"
"m28143823559","2023-12-06","","2023-12-17","fenty beauty lip gloss","Completed","Connecticut","Georgia","9.00","4.30","0.00","0.90","0.89","0.00","7.21","0.84","0.00"
"m23103602251","2023-12-02","","2023-12-19","maison margiela replica Sample","Completed","Oklahoma","Georgia","9.00","4.30","0.00","0.90","0.89","0.00","7.21","0.76","0.00"
"m90145989748","2023-12-16","","2023-12-20","Louis Vuitton box with gift bag","Completed","Texas","Georgia","30.00","7.99","0.00","3.00","1.60","0.00","25.40","3.13","0.00"
"m71981540231","2023-12-16","","2023-12-23","AirPods Pro box","Completed","Utah","Georgia","6.00","4.99","0.00","0.60","0.82","0.00","4.58","0.44","0.00"
"m96371339203","2023-12-19","","2023-12-23","Bape Color Camo Ape Head One Point Polo","Completed","Maryland","Georgia","42.00","7.40","0.00","4.20","1.93","0.00","35.87","2.52","0.00"
"m89344308300","2023-12-21","","2023-12-27","Worth leopard print skirt","Completed","Colorado","Georgia","12.00","4.99","0.00","1.20","0.99","0.00","9.81","1.64","0.00"
"m93945484503","2023-12-22","","2023-12-27","Nike Air Jordan 6 Retro Shoes","Completed","Georgia","Georgia","15.00","7.99","0.00","1.50","1.17","0.00","12.33","1.84","0.00"
"m50180618505","2023-12-27","","2023-12-30","allsaints shirt men","Completed","Florida","Georgia","12.00","4.99","0.00","1.20","0.99","0.00","9.81","1.19","0.00"
"m76823352386","2023-12-30","","","Salvatore Ferragamo gift bag","In process","Texas","Georgia","11.00","7.40","0.00","1.10","1.03","0.00","8.87","1.52","0.00"
"m21119386744","2023-12-29","","2024-01-02","Apple Watch band brand new","Completed","South Carolina","Georgia","15.00","4.30","0.00","1.50","1.06","0.00","12.44","1.35","0.00"
"m64638630336","2023-11-21","","2024-01-05","Rolex watch coffee table books","Completed","Florida","Georgia","16.00","7.40","0.00","1.60","1.18","0.00","13.22","1.64","0.00"
"m84349629461","2023-12-28","","2024-01-05","fenty beauty match stix","Completed","Arizona","Georgia","10.00","4.99","0.00","1.00","0.93","0.00","8.07","0.78","0.00"
"m49650810162","2023-12-30","","2024-01-07","Celine causal jacket","Completed","California","Georgia","168.00","7.99","0.00","16.80","5.60","0.00","145.60","15.96","0.00"
"m28946416377","2024-01-01","","2024-01-07","Tiffany jewelry box","Completed","Ohio","Georgia","12.00","4.99","0.00","1.20","0.99","0.00","9.81","1.15","0.00"
"m72740416597","2023-07-08","2023-08-14","","Marvis toothpaste","Cancelled","New York","Georgia","10.00","7.40","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m76330234833","2023-08-01","2023-08-01","","Diesel black dress","Cancelled","Washington","Georgia","20.00","0.00","7.40","0.00","0.00","0.00","0","0.00","0.00"
"m89069047725","2023-08-19","2023-08-19","","brandymelville knitwear","Cancelled","Maine","Georgia","28.00","9.50","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m15870141035","2023-08-30","2023-08-30","","Fresh rose morning perfume","Cancelled","California","Georgia","14.00","7.40","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m35737833051","2023-09-07","2023-09-23","","beats headphones","Cancelled","Texas","Georgia","39.00","7.40","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m16479256520","2023-11-13","2023-12-03","","Corset story white laceup corset size 30","Cancelled","Wisconsin","Georgia","37.00","4.99","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m71981540231","2023-12-01","2023-12-01","","AirPods Pro box","Cancelled","Nevada","Georgia","8.00","4.99","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m64303765488","2023-12-01","2023-12-04","","Zara white cube","Cancelled","New Jersey","Georgia","2.00","35.00","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m35235535749","2023-12-01","2023-12-04","","Zara small white","Cancelled","New Jersey","Georgia","2.00","35.00","0.00","0.00","0.00","0.00","0","0.00","0.00"
"m51875797707","2023-12-30","2024-01-02","","Burberry Sunglasses","Cancelled","California","Georgia","92.00","7.40","0.00","0.00","0.00","0.00","0","0.00","0.00"
"Totals:","","","","","","","","6536.50","1330.89","27.78","628.44","309.36","22.13","5304.19","503.95","3.00"
"Report generated on: 2024-01-11 14:38:48 UTC","","","","","","","","","","","","","","","",""
