"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer"
"m90047654372","2023-08-14","","2023-08-17","Cole Haan men Boots","Completed","Texas","Georgia","30.00","10.99","0.00","3.00","1.69","0.00","25.31","0.00","0.00"
"m27642899501","2023-08-12","","2023-08-19","Calvin Klein men jacket","Completed","Minnesota","Georgia","13.00","7.40","0.00","1.30","1.09","5.77","4.84","0.00","0.00"
"m15076563604","2023-08-05","","2023-08-20","Ja dore perfume 100 ml","Completed","Michigan","Georgia","30.00","7.40","0.00","3.00","1.58","0.00","25.42","1.80","0.00"
"m88031490229","2023-08-10","","2023-08-21","Clothes","Completed","Georgia","Georgia","2.00","35.00","0.00","0.20","1.57","0.00","0.23","2.96","0.00"
"m36423661337","2023-08-17","","2023-08-22","Lush twilight sleepy body spray","Completed","Florida","Georgia","11.00","4.99","0.00","1.10","0.96","0.00","8.94","1.12","0.00"
"m55579582736","2023-08-19","","2023-08-22","Chanel les beiges","Completed","Florida","Georgia","19.00","7.40","0.00","1.90","1.27","0.00","15.83","1.98","0.00"
"m67610053173","2023-08-16","","2023-08-22","nike women sneaker","Completed","Kentucky","Georgia","35.00","9.50","0.00","3.50","1.79","0.00","29.71","2.67","0.00"
"m31901974897","2023-08-16","","2023-08-22","Versace  Bright Crystal Eau de Toilette Spray, 90 ml","Completed","Georgia","Georgia","32.00","7.40","0.00","3.20","1.64","0.00","27.16","3.15","0.00"
"m26994168792","2023-08-18","","2023-08-22","Bobbi brown luxe eye shadow","Completed","Iowa","Georgia","13.00","4.99","0.00","1.30","1.02","0.00","10.68","0.91","0.00"
"m62960446973","2023-08-17","","2023-08-23","Vivien Westwood small box","Completed","California","Georgia","13.00","4.30","0.00","1.30","1.00","0.00","10.70","1.40","0.00"
"m74877015828","2023-08-16","","2023-08-23","Sephora blush","Completed","Oregon","Georgia","9.00","4.30","0.00","0.90","0.89","0.00","7.21","0.00","0.00"
"b66100312325","2023-08-19","","2023-08-24","Bundle for nora_hanscom","Completed","Maine","Georgia","53.00","9.50","0.00","5.30","2.31","0.00","45.39","2.92","0.00"
"m35591291983","2023-08-17","","2023-08-24","Balenciaga Shoe box","Completed","Pennsylvania","Georgia","13.00","7.40","0.00","1.30","1.09","0.00","10.61","0.00","0.00"
"m13324201344","2023-08-21","","2023-08-25","gymshark men jacket","Completed","California","Georgia","23.00","7.40","0.00","2.30","1.38","0.00","19.32","1.90","0.00"
"m17305944673","2023-08-24","","2023-08-28","kate spade big dust bag","Completed","Ohio","Georgia","7.00","4.99","0.00","0.70","0.85","0.00","5.45","0.87","0.00"
"m78114224881","2023-08-22","","2023-08-28","Gucci shoe box","Completed","Texas","Georgia","12.00","7.40","0.00","1.20","1.06","0.00","9.74","1.60","0.00"
"m17641695627","2023-08-23","","2023-08-28","Jo Malone perfume myrrh and tonka","Completed","New Mexico","Georgia","70.00","9.50","0.00","7.00","2.81","0.00","60.19","6.41","0.00"
"m68713182291","2023-08-26","","2023-08-29","Tiffany & Co perfume Tiffany Love for her","Completed","Florida","Georgia","27.00","7.40","0.00","2.70","1.50","0.00","22.80","2.58","0.00"
"m59728978444","2023-08-20","","2023-08-29","Men Shoe","Completed","Georgia","Georgia","2.00","13.50","0.00","0.20","0.95","0.00","0.85","1.24","0.00"
"m82022674185","2023-08-21","","2023-08-29","Chanel N5 coco Samples 3","Completed","Illinois","Georgia","10.00","4.30","0.00","1.00","0.91","0.00","8.09","1.43","0.00"
"m86967014527","2023-08-24","","2023-08-29","diptyque samples tempo","Completed","Illinois","Georgia","8.00","4.30","0.00","0.80","0.86","0.00","6.34","1.01","0.00"
"m70505622103","2023-08-21","","2023-08-30","Nike Sock Dart SE Nylon Gray men","Completed","California","Georgia","10.00","9.50","0.00","1.00","1.07","0.00","7.93","0.88","0.00"
"m71032604992","2023-08-25","","2023-08-30","Foreo face cleaning tool","Completed","Arizona","Georgia","9.00","4.30","0.00","0.90","0.89","0.00","7.21","0.77","0.00"
"m85831493755","2023-08-28","","2023-08-31","3ce eyeshadow glitter","Completed","Maryland","Georgia","9.00","4.30","0.00","0.90","0.89","0.00","7.21","0.54","0.00"
"m47249655459","2023-08-27","","2023-08-31","Zara black vest","Completed","Wisconsin","Georgia","18.00","7.40","0.00","1.80","1.24","0.00","14.96","1.27","0.00"
"m25649301689","2023-08-23","","2023-08-31","urban decay glitter eye shadow","Completed","New York","Georgia","9.00","4.30","0.00","0.90","0.89","0.00","7.21","1.11","0.00"
"m47746668703","2023-08-27","","2023-08-31","Bombshell Sportswear Leggings","Completed","California","Georgia","38.00","4.99","0.00","3.80","1.75","0.00","32.45","3.14","0.00"
"m52732809810","2023-08-26","","2023-09-01","Courrèges Second Peau Eau De Perfume Spray 100ml","Completed","Texas","Georgia","55.00","7.40","0.00","5.50","2.31","0.00","47.19","5.15","0.00"
"m94027869570","2023-08-23","","2023-09-01","Albion skin conditional essential","Completed","Washington","Georgia","30.00","4.99","0.00","3.00","1.51","0.00","25.49","3.46","0.00"
"m13201695434","2023-08-27","","2023-09-02","Olaplex No. 4D Clean Volume Detox Dry Shampoo","Completed","California","Georgia","12.00","4.99","0.00","1.20","0.99","0.00","9.81","0.93","0.00"
"m40359520144","2023-08-29","","2023-09-03","Jcrew Sleeveless Black vest Dress","Completed","Florida","Georgia","12.00","7.40","0.00","1.20","1.06","0.00","9.74","1.36","0.00"
"m72960845403","2023-08-29","","2023-09-04","Anastasia Beverly Hills Soft Glam Eyeshadow Palette","Completed","Texas","Georgia","14.00","4.99","0.00","1.40","1.05","0.00","11.55","1.57","0.00"
"m23378080593","2023-08-29","","2023-09-06","Hyke teddy Jacket","Completed","New York","Georgia","67.00","9.50","0.00","6.70","2.72","0.00","57.58","0.00","0.00"
"m54001567569","2023-09-01","","2023-09-06","Clarins  busy beauty firming lotion","Completed","New Jersey","Georgia","10.00","4.99","0.00","1.00","0.93","0.00","8.07","0.99","0.00"
"m12052770310","2023-08-30","","2023-09-08","Make up forever ultra HD powder","Completed","California","Georgia","8.00","4.30","0.00","0.80","0.86","0.00","6.34","0.82","0.00"
"m93122889338","2023-09-01","","2023-09-08","Levis 501 Jeans 26","Completed","Texas","Georgia","25.00","7.40","0.00","2.50","1.44","0.00","21.06","2.67","0.00"
"m75289172267","2023-08-29","","2023-09-08","tiffany jewelry box set of 4","Completed","Idaho","Georgia","55.00","4.99","0.00","5.50","2.24","0.00","47.26","3.30","0.00"
"m69230924575","2023-08-31","","2023-09-08","Dior lip addict lip gloss 640","Completed","California","Georgia","14.00","4.30","0.00","1.40","1.03","0.00","11.57","1.44","0.00"
"m82133468300","2023-09-08","","2023-09-12","Mm6 shirt jacket","Completed","Pennsylvania","Georgia","70.00","7.40","0.00","7.00","2.74","0.00","60.26","0.00","0.00"
"m79522970655","2023-09-08","","2023-09-13","L'Artisan Parfumeur Eau de Parfum, 100 ml","Completed","Washington","Georgia","68.00","7.40","0.00","6.80","2.69","0.00","58.51","7.62","0.00"
"m87402403139","2023-09-08","","2023-09-14","Hunter boots","Completed","Maryland","Georgia","32.00","9.50","0.00","3.20","1.70","0.00","27.10","1.92","0.00"
"m81815995628","2023-09-09","","2023-09-14","chrome hearts two box with pouch","Completed","California","Georgia","29.00","4.30","0.00","2.90","1.47","0.00","24.63","2.97","0.00"
"m44235645691","2023-09-11","","2023-09-14","Balenciaga shoebox","Completed","Maryland","Georgia","15.00","7.40","0.00","1.50","1.15","0.00","12.35","0.90","0.00"
"m15870141035","2023-08-30","","2023-09-16","Fresh rose morning perfume","Completed","California","Georgia","14.00","7.40","0.00","1.40","1.12","0.00","11.48","1.09","0.00"
"m52815620604","2023-09-13","","2023-09-16","Artizia green faux leather Jacket NWT","Completed","Illinois","Georgia","70.00","9.50","0.00","7.00","2.81","0.00","60.19","8.15","0.00"
"m10867394315","2023-09-09","","2023-09-17","Burberry giant slik scarf","Completed","Florida","Georgia","100.00","4.30","0.00","10.00","3.52","0.00","86.48","6.78","0.00"
"m13241410917","2023-09-12","","2023-09-17","Coach Wallet","Completed","Nevada","Georgia","35.00","4.99","0.00","3.50","1.66","0.00","29.84","2.93","0.00"
"m66167610510","2023-09-12","","2023-09-17","Tiffany Wine glass","Completed","Florida","Georgia","108.00","9.50","0.00","10.80","3.91","0.00","93.29","8.23","0.00"
"m68517378388","2023-09-11","","2023-09-19","Vivien Westwood small box","Completed","Arizona","Georgia","14.00","4.30","0.00","1.40","1.03","0.00","11.57","0.89","0.00"
"m88337419563","2023-09-13","","2023-09-19","CHANEL LE ROUGE DUO ULTRAWEAR LIQUID LIPCOLOR #40","Completed","California","Georgia","23.00","4.30","0.00","2.30","1.29","0.00","19.41","2.01","0.00"
"m65274291069","2023-09-18","","2023-09-20","Lancome Palette","Completed","Georgia","Georgia","9.00","4.30","0.00","0.90","0.89","0.00","7.21","0.93","0.00"
"m20354698235","2023-09-17","","2023-09-21","essie nail polish bundle","Completed","Pennsylvania","Georgia","13.00","7.40","0.00","1.30","1.09","0.00","10.61","1.23","0.00"
"m79034170086","2023-09-12","","2023-09-21","Huda Beauty lipstick set of 2","Completed","Washington","Georgia","15.00","4.30","0.00","1.50","1.06","0.00","12.44","1.98","0.00"
"m94978122648","2023-09-13","","2023-09-21","Aritzia TNA tan crop top","Completed","Iowa","Georgia","14.00","4.99","0.00","1.40","1.05","0.00","11.55","0.84","0.00"
